orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260625aircon-1001,,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,6/25空調-1,A37,2026/11/25,48801062267796
lotte20260625aircon-1002,,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,6/25空調-1,A37,2026/11/25,48801062267796
lotte20260625aircon-1003,,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,6/25空調-1,A37,2026/11/25,48801062267796
lotte20260625aircon-1004,,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,6/25空調-1,A37,2026/11/25,48801062267796
lotte20260625aircon-1005,,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,6/25空調-1,A37,2026/11/25,48801062267796
lotte20260625aircon-1006,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,1,9,,6/25空調-1,A37,2026/12/09,48801062641237
lotte20260625aircon-1007,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,22,198,,6/25空調-1,A37,2026/12/09,48801062641237
lotte20260625aircon-1008,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,34,307,,6/25空調-1,A37,2026/12/08,48801062641237
lotte20260625aircon-1009,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,43,392,,6/25空調-1,A37,2026/12/09,48801062641237
lotte20260625aircon-1010,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,52,468,,6/25空調-1,A37,2026/12/09,48801062641237
lotte20260625aircon-1011,,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,71,639,,6/25空調-1,A37,2026/12/08,48801062641237
